     nazwa      | pustynia_km2 | pustynia_pct | szac_mieszk_na_pustyni 
----------------+--------------+--------------+------------------------
 Białołęka      |        55.60 |         76.2 |                 120967
 Bielany        |        22.44 |         69.5 |                  91393
 Mokotów        |        12.37 |         34.9 |                  78787
 Wawer          |        65.80 |         82.6 |                  73142
 Ursynów        |        19.25 |         44.0 |                  65912
 Targówek       |        12.99 |         53.4 |                  65712
 Ursus          |         6.13 |         65.6 |                  45628
 Wilanów        |        30.68 |         83.6 |                  43860
 Bemowo         |         7.61 |         30.5 |                  39409
 Włochy         |        18.64 |         65.2 |                  32691
 Praga-Południe |         2.58 |         11.5 |                  21442
 Wesoła         |        15.02 |         65.5 |                  17453
 Rembertów      |        13.13 |         68.1 |                  16915
 Śródmieście    |         2.67 |         17.1 |                  16794
 Żoliborz       |         1.40 |         16.5 |                   9682
 Praga-Północ   |         1.59 |         14.1 |                   8421
 Wola           |         0.88 |          4.6 |                   6870
 Ochota         |         0.03 |          0.3 |                    219
(18 rows)

