     nazwa      | liczba_aptek | ludnosc | mieszk_na_apteke 
----------------+--------------+---------+------------------
 Białołęka      |           31 |  158749 |             5121
 Ursus          |           15 |   69574 |             4638
 Bemowo         |           32 |  129188 |             4037
 Bielany        |           35 |  131420 |             3755
 Wilanów        |           14 |   52472 |             3748
 Włochy         |           14 |   50143 |             3582
 Rembertów      |            7 |   24822 |             3546
 Wawer          |           25 |   88512 |             3540
 Targówek       |           35 |  123067 |             3516
 Wesoła         |            8 |   26632 |             3329
 Żoliborz       |           18 |   58625 |             3257
 Ursynów        |           47 |  149775 |             3187
 Mokotów        |           71 |  225519 |             3176
 Praga-Południe |           62 |  185810 |             2997
 Wola           |           57 |  150319 |             2637
 Praga-Północ   |           24 |   59632 |             2485
 Ochota         |           32 |   79357 |             2480
 Śródmieście    |           59 |   97983 |             1661
(18 rows)

