   dzielnica    | ludnosc | aptek | poz | sor 
----------------+---------+-------+-----+-----
 Bemowo         |  129188 |    32 |  11 |   0
 Białołęka      |  158749 |    31 |   9 |   0
 Bielany        |  131420 |    35 |   5 |   0
 Mokotów        |  225519 |    71 |  35 |   1
 Ochota         |   79357 |    32 |  22 |   1
 Praga-Północ   |   59632 |    24 |   9 |   1
 Praga-Południe |  185810 |    62 |  20 |   0
 Rembertów      |   24822 |     7 |   4 |   0
 Śródmieście    |   97983 |    59 |  22 |   0
 Targówek       |  123067 |    35 |   5 |   1
 Ursus          |   69574 |    15 |   2 |   0
 Ursynów        |  149775 |    47 |  19 |   0
 Wawer          |   88512 |    25 |   5 |   0
 Wesoła         |   26632 |     8 |   3 |   0
 Wilanów        |   52472 |    14 |   1 |   0
 Włochy         |   50143 |    14 |   3 |   0
 Wola           |  150319 |    57 |  38 |   0
 Żoliborz       |   58625 |    18 |  18 |   0
(18 rows)

